Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GWP,20-yr,100-yr,,,,,,,,,
VKT (km/bus/yr),,,,Currency exchange rate,,,,,,,,,,,Unit conversions,,,CO2,1,1,,,,,,,,,
,midi_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,standard,0.630,0.573,0.083,0.049,0.049,0.049,0.000,,,,,,,,,,,,,,,,,,,,,
,standard_AC,0.630,0.573,0.083,0.049,0.049,0.049,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO2 tailpipe emission factor (g/km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,midi_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,standard,0.006,0.006,0.006,0.006,0.006,0.006,0.000,,,,,,,,,,,,,,,,,,,,,
,standard_AC,0.006,0.006,0.006,0.006,0.006,0.006,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3 tailpipe emission factor (g/km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,midi_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,standard,0.003,0.003,0.003,0.003,0.003,0.003,0.000,,,,,,,,,,,,,,,,,,,,,
,standard_AC,0.003,0.003,0.003,0.003,0.003,0.003,0.000,,,,,,,,,,,,,,,,,,,,,
,articulated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus - years ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,
,midi_AC,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,
,standard,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,
,standard_AC,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,
,articulated,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrstructure - years ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,60,60,60,60,60,60,28,,,,,,,,,,,,,,,,,,,,,
,midi_AC,60,60,60,60,60,60,28,,,,,,,,,,,,,,,,,,,,,
,standard,60,60,60,60,60,60,28,,,,,,,,,,,,,,,,,,,,,
,standard_AC,60,60,60,60,60,60,28,,,,,,,,,,,,,,,,,,,,,
,articulated,60,60,60,60,60,60,28,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,60,60,60,60,60,60,28,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,,,,,,,,,,,,,,,,,,,,,
,midi_AC,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,,,,,,,,,,,,,,,,,,,,,
,standard,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,,,,,,,,,,,,,,,,,,,,,
,standard_AC,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,,,,,,,,,,,,,,,,,,,,,
,articulated,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,10.5%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus depreciation index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,,,,,,,,,,,,,,,,,,,,,
,midi_AC,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,,,,,,,,,,,,,,,,,,,,,
,standard,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,,,,,,,,,,,,,,,,,,,,,
,standard_AC,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,,,,,,,,,,,,,,,,,,,,,
,articulated,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,13.60%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure depreciation index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,
,midi_AC,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,
,standard,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,
,standard_AC,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,
,articulated,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflation (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,,,,,,,,,,,,,,,,,,,,,
,midi_AC,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,,,,,,,,,,,,,,,,,,,,,
,standard,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,,,,,,,,,,,,,,,,,,,,,
,standard_AC,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,,,,,,,,,,,,,,,,,,,,,
,articulated,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,,,,,,,,,,,,,,,,,,,,,
,articulated_AC,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,4.5%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus purchase price - relative to BSIV diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi, 1.00 , 1.00 , 1.00 , 1.05 , 1.58 , 1.18 , 5.96 ,,,,,,,,,,,,,,,,,,,,,
,midi_AC, 1.00 , 1.00 , 1.00 , 1.05 , 1.58 , 1.18 , 1.81 ,,,,,,,,,,,,,,,,,,,,,
,standard, 1.00 , 1.00 , 1.00 , 1.05 , 1.58 , 1.18 , 5.96 ,,,,,,,,,,,,,,,,,,,,,
,standard_AC, 1.00 , 1.00 , 1.00 , 1.05 , 1.58 , 1.18 , 1.81 ,,,,,,,,,,,,,,,,,,,,,
,articulated, 1.00 , 1.00 , 1.00 , 1.05 , 1.58 , 1.18 , 5.96 ,,,,,,,,,,,,,,,,,,,,,
,articulated_AC, 1.00 , 1.00 , 1.00 , 1.05 , 1.58 , 1.18 , 1.81 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus purchase price (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BSII_diesel,BSIII_diesel,BSIV_diesel,BSVI_diesel,BSVI_hybrid,BSVI_CNG,BEB,,,,,,,,,,,,,,,,,,,,,
,midi," 2,800,000 "," 2,800,000 "," 2,800,000 "," 2,940,000 "," 4,410,000 "," 3,292,800 "," 16,700,000 ",,,,,,,,,,,,,,,,,,,,,
,midi_AC," 2,800,000 "," 2,800,000 "," 2,800,000 "," 2,940,000 "," 4,410,000 "," 3,292,800 "," 5,068,266 ",,,,,,,,,,,,,,,,,,,,,
,standard," 2,800,000 "," 2,800,000 "," 2,800,000 "," 2,940,000 "," 4,410,000 "," 3,292,800 "," 16,700,000 ",,,,,,,,,,,,,,,,,,,,,
,standard_AC," 9,668,000 "," 9,668,000 "," 9,668,000 "," 10,151,400 "," 15,227,100 "," 11,369,568 "," 17,500,000 ",,,,,,,,,,,,,,,,,,,,,
,articulated," 9,668,000 "," 9,668,000 "," 9,668,000 "," 10,151,400 "," 15,227,100 "," 11,369,568 "," 57,662,714 ",,,,,,,,,,,,,,,,,,,,,
